,oid,sgn,formula,pretty_formula,yp,ypl
139,9014815,154,Mo3S6,MoS2,0.8605982,1.0
260,1539273,61,Mo4S8,MoS2,0.70534587,1.0
248,9006303,1,Mo4S8,MoS2,0.9138918,1.0
19,1010993,194,Mo2S4,MoS2,0.20029917,-1.0
269,2310609,96,Mo4S8,MoS2,0.2751774,-1.0
226,1008245,205,Mo4S8,MoS2,0.43477023,-1.0
94,1011223,19,Mo4S8,MoS2,0.18877214,-1.0
280,1522720,65,S4Mo4S4,MoS2,0.5474415,1.0
286,1540056,129,S2Mo2S2,MoS2,0.10222343,-1.0
184,1526502,62,S8Mo8S8,MoS2,0.1307097,-1.0
275,1527587,62,S12Mo4S4Mo4,MoS2,0.7245749,1.0
182,9009141,156,Mo3S6,MoS2,0.17919171,-1.0
32,9009091,60,Mo4S8,MoS2,0.71975476,1.0
80,2310733,20,S4Mo4S4,MoS2,0.06371347,-1.0
11,1530079,9,S12Mo8S4,MoS2,0.44323543,-1.0
43,1514090,58,Mo2S4,MoS2,0.88307494,1.0
86,1010038,129,S4Mo2,MoS2,0.22995764,-1.0
36,1530150,136,S4Mo2,MoS2,0.5572527,1.0
58,1523551,182,Mo2S4,MoS2,0.07347337,-1.0
41,9009238,14,Mo6S12,MoS2,0.3667917,-1.0
209,2107303,33,Mo4S16Mo4,MoS2,0.5348699,1.0
148,2106612,14,S8Mo4,MoS2,0.10053267,-1.0
123,8104269,61,S16Mo8,MoS2,0.088617645,-1.0
98,1530870,12,Mo4S16Mo4,MoS2,0.97861415,1.0
130,4124648,205,Mo4S8,MoS2,0.45563516,-1.0
23,1008826,189,S6Mo3,MoS2,0.3488817,-1.0
201,1544738,205,Mo4S8,MoS2,0.1799637,-1.0
292,1537442,186,Mo4S8,MoS2,0.06788373,-1.0
256,1520934,19,Mo4S8,MoS2,0.036485642,-1.0
197,1527886,113,S8Mo4,MoS2,0.18198557,-1.0
95,4027825,2,S2Mo2S6Mo2,MoS2,0.37094668,-1.0
169,7222744,11,S4Mo2S6Mo4S2,MoS2,0.056817953,-1.0
227,2310090,194,Mo2S4,MoS2,0.8851471,1.0
143,1539529,2,S4Mo2S2Mo2S2,MoS2,0.69027644,1.0
180,1509708,4,S2Mo2S2,MoS2,0.21089162,-1.0
