,yp_proba,yp_label,y_true
599,0.0005163855,-1.0,-1
600,0.00076381,-1.0,-1
601,0.0063063125,-1.0,-1
602,0.9999999,1.0,1
603,0.9999999,1.0,1
604,1.0,1.0,1
605,0.043865353,-1.0,-1
606,0.0076920143,-1.0,-1
607,0.0011210435,-1.0,-1
608,0.99999917,1.0,1
609,0.9999995,1.0,1
610,0.0070761503,-1.0,-1
611,0.035289243,-1.0,-1
612,0.9999999,1.0,1
613,0.99998546,1.0,1
614,0.015111519,-1.0,-1
615,0.09489268,-1.0,-1
616,0.1820041,-1.0,1
617,0.0004978744,-1.0,-1
618,0.0025390005,-1.0,-1
619,0.999711,1.0,1
620,0.9999987,1.0,1
621,0.99999094,1.0,1
622,0.0049703247,-1.0,-1
623,0.9999995,1.0,1
624,1.0,1.0,1
625,0.9999999,1.0,1
626,0.99990726,1.0,1
627,0.06782016,-1.0,-1
628,0.92509013,1.0,1
629,0.0019675873,-1.0,-1
630,0.018955229,-1.0,-1
631,0.09489268,-1.0,-1
632,0.99999976,1.0,1
633,0.0025390005,-1.0,-1
634,0.1481551,-1.0,-1
635,0.056376807,-1.0,-1
636,0.03176646,-1.0,-1
637,0.9994431,1.0,1
638,0.001129146,-1.0,-1
639,0.0019397562,-1.0,-1
640,0.99999917,1.0,1
641,0.0036901573,-1.0,-1
642,0.9999999,1.0,1
643,0.027096046,-1.0,-1
644,0.99999964,1.0,1
645,0.01193138,-1.0,-1
646,1.0,1.0,1
647,0.9999707,1.0,1
648,1.0,1.0,1
649,0.9999671,1.0,1
650,0.0006378049,-1.0,-1
651,0.99999845,1.0,1
652,0.99873,1.0,1
653,1.0,1.0,1
654,0.99999976,1.0,1
655,0.027404543,-1.0,-1
656,0.9999466,1.0,1
657,0.9999864,1.0,1
658,0.011236882,-1.0,-1
659,0.99999964,1.0,1
660,0.9999999,1.0,1
661,0.056376807,-1.0,-1
662,0.010545791,-1.0,-1
663,1.0,1.0,1
664,0.00068225735,-1.0,-1
665,0.99997973,1.0,1
666,0.9999957,1.0,1
667,0.9982279,1.0,1
668,0.99922943,1.0,1
669,0.0014565734,-1.0,-1
670,0.9999999,1.0,1
671,0.99999774,1.0,1
672,0.0037142886,-1.0,-1
673,0.9999982,1.0,1
674,0.0011349207,-1.0,-1
675,0.011741347,-1.0,-1
676,0.99999905,1.0,1
677,0.99999845,1.0,1
678,0.99999654,1.0,1
679,0.99999976,1.0,1
680,0.99999833,1.0,1
681,1.0,1.0,1
682,0.015956262,-1.0,-1
683,0.98408806,1.0,1
684,0.9999937,1.0,1
685,0.9999999,1.0,1
686,0.00056364795,-1.0,-1
687,0.9999982,1.0,1
688,0.00056364795,-1.0,-1
689,1.0,1.0,1
690,1.0,1.0,1
691,0.33901748,-1.0,1
692,0.078869954,-1.0,-1
693,0.018955229,-1.0,-1
694,0.0019268511,-1.0,-1
695,0.049579054,-1.0,-1
696,0.9999999,1.0,1
697,0.049579054,-1.0,-1
698,0.99924314,1.0,1
699,0.00050661445,-1.0,-1
700,0.9999989,1.0,1
701,0.99999726,1.0,1
702,1.0,1.0,1
703,0.0006517451,-1.0,-1
704,0.9999999,1.0,1
705,0.9999999,1.0,1
706,0.9999987,1.0,1
707,0.00051435,-1.0,-1
708,0.9999937,1.0,1
709,0.051935505,-1.0,-1
710,0.02345553,-1.0,-1
711,0.004047724,-1.0,-1
712,0.99999964,1.0,1
713,0.99963605,1.0,1
714,0.071012914,-1.0,-1
715,0.019495845,-1.0,-1
716,0.99966407,1.0,1
717,0.9998666,1.0,1
718,0.0050584166,-1.0,-1
719,0.0012291506,-1.0,-1
720,0.003151595,-1.0,-1
721,0.9999994,1.0,1
722,0.9999988,1.0,1
723,1.0,1.0,1
724,0.020354267,-1.0,-1
725,0.7532257,1.0,1
726,0.10986834,-1.0,-1
727,0.9999994,1.0,1
728,0.99710935,1.0,1
729,0.118643984,-1.0,-1
730,0.00093414163,-1.0,-1
731,0.06118097,-1.0,-1
732,1.0,1.0,1
733,0.9999987,1.0,1
734,0.0019146248,-1.0,-1
735,0.9999982,1.0,1
736,1.0,1.0,1
737,0.00069593184,-1.0,-1
738,0.09203083,-1.0,-1
739,0.070907794,-1.0,-1
740,0.98471916,1.0,1
741,0.9999993,1.0,1
742,0.99994254,1.0,1
743,0.52274716,1.0,1
744,0.9999999,1.0,1
745,0.00046906056,-1.0,-1
746,0.962958,1.0,1
747,0.03115113,-1.0,-1
748,0.99992716,1.0,1
749,1.0,1.0,1
750,0.027856153,-1.0,-1
751,0.77012974,1.0,1
752,0.99999976,1.0,1
753,0.9923153,1.0,1
754,0.9999999,1.0,1
755,0.99999714,1.0,1
756,0.9999999,1.0,1
757,0.9999933,1.0,1
758,0.9999995,1.0,1
759,0.9999999,1.0,1
760,0.9994311,1.0,1
761,1.0,1.0,1
762,0.00058135286,-1.0,-1
763,0.99999154,1.0,1
764,0.0038885083,-1.0,-1
765,0.0006890682,-1.0,-1
766,0.9727395,1.0,1
767,0.99999976,1.0,1
768,0.9999988,1.0,1
769,0.0071782717,-1.0,-1
770,0.00095670857,-1.0,-1
771,0.98850584,1.0,1
772,0.09235181,-1.0,-1
773,0.9999999,1.0,1
774,0.9999999,1.0,1
775,0.99896526,1.0,1
776,0.00050460885,-1.0,-1
777,0.09625191,-1.0,-1
778,0.00095670857,-1.0,-1
779,0.9566957,1.0,1
780,0.0012056918,-1.0,-1
781,0.006705978,-1.0,-1
782,0.00053986773,-1.0,-1
783,0.022486713,-1.0,-1
784,0.9999701,1.0,1
785,0.006263388,-1.0,-1
786,0.9999825,1.0,1
787,0.9999981,1.0,1
788,0.23558828,-1.0,-1
789,0.004580406,-1.0,-1
790,0.0036901573,-1.0,-1
791,0.0005854509,-1.0,-1
792,0.00048333046,-1.0,-1
793,0.0021534713,-1.0,-1
794,0.999998,1.0,1
795,0.0006890682,-1.0,-1
796,0.005308538,-1.0,-1
797,0.0017432832,-1.0,-1
798,0.9999913,1.0,1
799,0.99999845,1.0,1
800,0.0039310004,-1.0,-1
801,0.99999523,1.0,1
802,0.99999905,1.0,1
803,1.0,1.0,1
804,0.0005394596,-1.0,-1
805,0.0014602586,-1.0,-1
806,0.012021557,-1.0,-1
807,0.99999964,1.0,1
808,0.0006514051,-1.0,-1
809,0.9999336,1.0,1
810,0.0046586045,-1.0,-1
811,0.9999999,1.0,1
812,0.99998415,1.0,1
813,0.005005865,-1.0,-1
814,0.9999974,1.0,1
815,0.00048274943,-1.0,-1
816,1.0,1.0,1
817,0.99999774,1.0,1
818,0.0005698481,-1.0,-1
819,0.9999999,1.0,1
820,0.014790222,-1.0,-1
821,0.9999999,1.0,1
822,0.9999999,1.0,1
823,0.99972075,1.0,1
